baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xetro.A00034	82.2118861145194	1.01500092402832	0.383155185005068	2.64905960757099	0.00807160938910353	0.0397112020698981
Xetro.A00126	19.6268085628566	2.57009339766755	0.916976679093356	2.80279036126489	0.00506625889606689	0.0276156974296404
Xetro.A00203	513.222776222463	2.04720915169821	0.256393580032768	7.98463499529343	1.40938709581103e-15	2.37246827794857e-13
Xetro.A00266	12.2583905032834	1.88195391889457	0.843680428649023	2.23064783179589	0.0257044657770036	0.0945274634106157
Xetro.A00297	347.582173260956	1.05106334365816	0.194196105705818	5.41238115892181	6.21921295525151e-08	1.97488395161181e-06
Xetro.A00460	49.4501994418166	1.33741284398271	0.364167033635785	3.67252584790609	0.000240164850295215	0.00245737302704026
Xetro.A00726	70.6817362177308	1.12418941683087	0.340219063326035	3.30431048113711	0.000952103248407871	0.00747876385038897
Xetro.A00768	14.4345968323956	1.93487020071954	0.867314482618355	2.23087500496742	0.0256894098309493	0.094516500799885
Xetro.A00842	65.8059465443111	1.20968013647187	0.436321200825188	2.77245326191822	0.00556355082047775	0.0295646259655734
Xetro.A00945	663.516385648456	1.36650540265679	0.3382602126164	4.03980530872088	5.3495589580118e-05	0.000707325553105361
Xetro.A00946	53.8618204690302	1.46859060164823	0.328286137656077	4.47350781282996	7.69467453011819e-06	0.000136267115123303
Xetro.A01271	10.8743224371846	2.0755090381223	0.847846372107889	2.44797773087386	0.0143660534424052	0.0611544002072901
Xetro.A01364	143.824174078067	1.3060044216199	0.317986163451745	4.107110848608	4.00638986079258e-05	0.000555536167145331
Xetro.A01736	58.709204561479	1.00744576632928	0.348750006313294	2.88873332786196	0.0038679694620396	0.0223360612055441
Xetro.A02009	6.06434407881855	2.32834205430262	0.838758786545359	2.7759376016703	0.00550427711817957	0.0293292914517022
Xetro.A02146	10.1228969955122	1.83192046275594	0.67823087491047	2.70102782182802	0.00691255557774949	0.035157913440438
Xetro.A02194	9.93239636785875	1.9874849150725	0.640682258432243	3.10213821112496	0.00192128233794051	0.0129558431705277
Xetro.A02364	104.047364123751	1.18416851210551	0.371646348725482	3.18627780460235	0.00144116140742728	0.0103397716926096
Xetro.A02645	12.1119193048231	2.11759007100598	0.699133997322105	3.02887583655922	0.00245465544167053	0.0156457478826655
Xetro.A02695	46.9877938015215	1.23841955103254	0.500584311978363	2.47394798717957	0.0133629149970177	0.0578689998003629
Xetro.A02980	250.795326253719	1.01507749114824	0.450273696317258	2.25435662675936	0.0241737415832883	0.0908248895421703
Xetro.A03373	11.1580046899164	3.47877923198248	0.821283884348592	4.23578168070558	2.27757988052614e-05	0.000342512132849536
Xetro.A03400	14.9923686118118	2.11300480546652	0.579812958096958	3.64428696523402	0.000268134122271106	0.00269079466932959
Xetro.A03446	172.236987743923	1.17993285890044	0.530770290540564	2.22305746935973	0.0262119250250121	0.095875627632375
Xetro.A03511	28.8182940668815	1.81875717853654	0.539019686355224	3.37419434684237	0.000740320802192687	0.0061483937179451
Xetro.B00166	278.694292753701	1.07828542519518	0.446446114133574	2.41526444302877	0.0157237892728488	0.0653453467126224
Xetro.B00796	4.65720633621455	3.20636648175088	1.23214523773047	2.60226342119927	0.00926106870939631	0.0440808849636969
Xetro.B00877	29.0433336772009	3.02793574976355	0.760514458278395	3.98143088116695	6.85016418025612e-05	0.00086693064059749
Xetro.B00930	11.4755006392354	4.30113377027738	1.09163537375403	3.94008280941483	8.14534873879857e-05	0.00100247983102116
Xetro.B01007	39.6967817387865	1.45428069814663	0.421543822970675	3.44989208452425	0.00056081068859296	0.00492123953471008
Xetro.B01032	46.823112066264	4.03909103903799	0.484317697435637	8.33975520701422	7.44444831506479e-17	1.61865053294916e-14
Xetro.B01689	7.32140241157806	2.39625393725816	0.943028785760451	2.54101886754797	0.0110529954738781	0.0503593260022007
Xetro.B01690	18.197767486161	1.20523643872267	0.517623120087886	2.32840534348241	0.0198905901888837	0.0782970051312481
Xetro.B01706	28.58361389492	1.5236157019849	0.524639247332749	2.90412070719245	0.0036828614064717	0.0214639770335175
Xetro.B02422	5.71212039782799	2.65862710537932	0.907513987507368	2.9295714908832	0.00339429723304425	0.0201203041209041
Xetro.B02437	20.3937326513669	1.87617811027872	0.503562870961713	3.72580708084288	0.000194691270667473	0.00206217310033782
Xetro.B02488	28.8333007527416	1.85727661491389	0.669011675500437	2.77614977873831	0.00550068615476356	0.0293292914517022
Xetro.B02519	64.7259695373055	5.80064682498379	0.71160170961691	8.15153581925282	3.59331211785738e-16	7.12067103861484e-14
Xetro.C00088	17.4790644260684	1.34663887546251	0.511602907884101	2.63219550692542	0.00848350291971783	0.041283567985136
Xetro.C00307	17.1853360340151	1.61482326109646	0.671618272715232	2.40437660304866	0.0162000744385822	0.0668984872951738
Xetro.C00310	5.35367702092893	3.21452684255739	1.10336796561065	2.91337699004008	0.00357542671128039	0.020932425267425
Xetro.C00427	854.615963711207	1.3550979106933	0.313189235620782	4.32677038853944	1.51311547355445e-05	0.000243478173774419
Xetro.C00706	12.45867837653	1.66365814810886	0.709137902609945	2.34602908966768	0.0189746264969112	0.0755846762873142
Xetro.C00830	56.2362797930529	1.59896055546209	0.508476694398483	3.14460932639916	0.00166308757995019	0.0116282429942475
Xetro.C00894	173.693325873314	1.36244396867771	0.421152977253737	3.23503344927529	0.00121628480979413	0.00908008521570204
Xetro.C00896	130.726006319675	2.1644771518764	0.360043674655804	6.01170720175991	1.83579674706496e-09	8.52801129830918e-08
