baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42Sp43	680.824175598669	-0.860597668014918	0.287625047610562	-2.99208179247361	0.00277082015184384	0.0171764670158362
Xetro.A00034	82.2118861145194	1.01500092402832	0.383155185005068	2.64905960757099	0.00807160938910353	0.0397112020698981
Xetro.A00084	93.6768241037846	-0.852802149079934	0.254362916189844	-3.35269842732674	0.000800278531014118	0.00654906450759332
Xetro.A00126	19.6268085628566	2.57009339766755	0.916976679093356	2.80279036126489	0.00506625889606689	0.0276156974296404
Xetro.A00137	57.0243155198151	-7.30383914058352	0.850184188877501	-8.59089034603993	8.62979632855339e-18	2.2147452708771e-15
Xetro.A00203	513.222776222463	2.04720915169821	0.256393580032768	7.98463499529343	1.40938709581103e-15	2.37246827794857e-13
Xetro.A00266	12.2583905032834	1.88195391889457	0.843680428649023	2.23064783179589	0.0257044657770036	0.0945274634106157
Xetro.A00297	347.582173260956	1.05106334365816	0.194196105705818	5.41238115892181	6.21921295525151e-08	1.97488395161181e-06
Xetro.A00451	36.4525028421992	-2.79773808384801	0.889254489936519	-3.14616132446824	0.00165428729964542	0.0115770530513854
Xetro.A00460	49.4501994418166	1.33741284398271	0.364167033635785	3.67252584790609	0.000240164850295215	0.00245737302704026
Xetro.A00499	9.35027260668595	-1.47583586038393	0.664454081296621	-2.2211254350398	0.0263424667395577	0.0961061097198265
Xetro.A00700	11.1223490731977	-1.26539799252344	0.532206176348735	-2.37764619945762	0.0174235344702903	0.0707930008129756
Xetro.A00726	70.6817362177308	1.12418941683087	0.340219063326035	3.30431048113711	0.000952103248407871	0.00747876385038897
Xetro.A00768	14.4345968323956	1.93487020071954	0.867314482618355	2.23087500496742	0.0256894098309493	0.094516500799885
Xetro.A00781	101.699314046262	-1.21955565292914	0.399980106397547	-3.04904077333537	0.00229573321367522	0.0148695504592824
Xetro.A00842	65.8059465443111	1.20968013647187	0.436321200825188	2.77245326191822	0.00556355082047775	0.0295646259655734
Xetro.A00945	663.516385648456	1.36650540265679	0.3382602126164	4.03980530872088	5.3495589580118e-05	0.000707325553105361
Xetro.A00946	53.8618204690302	1.46859060164823	0.328286137656077	4.47350781282996	7.69467453011819e-06	0.000136267115123303
Xetro.A00972	1852.92532369698	-0.588035960105152	0.206040426396491	-2.85398341669889	0.00431747849832384	0.0244625862798623
Xetro.A00995	58.2186123818562	-1.64696939828862	0.4564174374037	-3.60847168253977	0.000308006125707867	0.00301176508304601
