baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xetro.A00137	57.0243155198151	-5.03673344144691	1.08062569134713	-4.66094178750092	3.14765747998445e-06	0.000779359992044149
Xetro.A00232	60.8985963880274	2.32887216203589	0.449596981342608	5.17991058365495	2.21992284157761e-07	0.000101787573254559
Xetro.A00691	42.1555950245527	1.60874840198732	0.435361226369473	3.69520367122001	0.000219710593927302	0.0182551486766443
Xetro.A00692	64.2999942354859	1.21256140558246	0.368979135873271	3.2862600827352	0.00101527220416056	0.0556153534845472
Xetro.A00693	690.115747285163	1.11024335121033	0.295175291906638	3.7613017811853	0.000169031344660202	0.0153868238742154
Xetro.A01198	2327.81405319116	0.578613948748055	0.149169293763684	3.87890787808316	0.000104926478101465	0.0112955634686621
Xetro.A01936	1017.13424820109	1.64015738313074	0.505453235046179	3.24492409862783	0.00117481933240055	0.0612022205982488
Xetro.A02927	1252.93979622162	-0.437382193031709	0.128117552871823	-3.41391310735769	0.000640369955191174	0.0410765805454235
Xetro.A02968	102.330852659868	-2.61328410585383	0.385747411524889	-6.77459920086908	1.24751612350206e-11	1.54442496089555e-08
Xetro.A03025	987.858947926506	-1.34042344716799	0.336869919001624	-3.97905355022669	6.91901567701864e-05	0.00874055245729497
Xetro.C00142	927.379136284735	1.64110573577425	0.326120354506832	5.03220885508964	4.84860617673664e-07	0.000178513694819242
Xetro.C00386	654.312684147764	-0.584597442808362	0.192219450895434	-3.04130222037924	0.00235557262883401	0.0990087463907639
Xetro.D00228	533.299345906548	1.83570988428653	0.410905016855466	4.46747985297106	7.91464625520026e-06	0.0015074357021443
Xetro.D00695	406.806330004494	-0.750218132044991	0.189773545354532	-3.95322820492943	7.71038365615817e-05	0.00937210733315451
Xetro.D01070	1458.65052333994	1.64066837709205	0.468622345916633	3.50104597313403	0.00046343589070647	0.0325985018576483
Xetro.D01520	59.144077244794	1.95625844435854	0.569055591510201	3.43772818252586	0.000586616235654434	0.0383075311601641
Xetro.D01561	134.413317777761	0.607068448673313	0.184511707384624	3.29013512084546	0.00100139283049727	0.0551855970219358
Xetro.D02419	1694.78149424586	-1.13636812831021	0.370308007713346	-3.06871065340253	0.00214984701466779	0.0933863369880254
Xetro.E00064	1314.09357884719	0.779530736275963	0.226441044876404	3.44253285309404	0.000576293860979464	0.0379495638240732
Xetro.E01322	384.323975725928	-2.32830233856362	0.495675827398614	-4.697227925725	2.63716117838186e-06	0.000694639476348242
Xetro.E01370	66.5007984126557	-0.880935348411023	0.289702089514279	-3.04083187624922	0.00235925526536958	0.0990087463907639
Xetro.F01607	83.5918484715552	0.987078323560417	0.324004519917157	3.04649553596597	0.00231525917082046	0.0981606456669772
Xetro.G01392	184.751157845223	1.3152885414984	0.336692337951308	3.90649977217069	9.36427316030963e-05	0.0105873187217857
Xetro.G01922	461.550807451321	0.584484800482679	0.18832726173364	3.10355917195538	0.00191207995068375	0.0872575389449167
Xetro.H00044	211.947136504464	-0.728974704658705	0.224680393966253	-3.24449628999759	0.00117658550100026	0.0612022205982488
Xetro.I00996	379.121129732429	-0.721566340130773	0.222055019065296	-3.24949349565747	0.00115610722069948	0.0610216983308157
Xetro.J00595	71.7718825956465	1.74616038846381	0.56981736891564	3.06442113512044	0.00218091666954401	0.0937491262810932
Xetro.K00276	1018.64156593198	1.78106155986556	0.375246178727838	4.74638160448089	2.07087848643867e-06	0.000569721681380239
Xetro.K00726	319.24095646766	1.3626181038542	0.407572125074669	3.34325637113814	0.000828013645713659	0.0490469326982541
Xetro.K00728	628.552669677495	2.44446065317768	0.711192866201336	3.43712763351265	0.00058791849114953	0.0383075311601641
Xetro.K00823	95.7575185445351	-1.14170807029258	0.283547731471512	-4.02651103702194	5.66105833891666e-05	0.00756470127169452
Xetro.K01092	222.75576232377	-1.04324174576685	0.315927487986297	-3.30215567001278	0.000959448062822904	0.053264426088554
Xetro.K02408	85.3940542949798	1.26810378359433	0.326563341325835	3.88317861535185	0.000103099775020958	0.0112953558828271
Xetro.K03038	70.4888502878633	-1.03789960865581	0.307744261818823	-3.37260426082891	0.00074460889342426	0.045187539708786
Xetro.K03335	326.352147244847	-0.668634317151552	0.21655055919192	-3.08765915750404	0.00201739710347964	0.0895574931588594
Xetro.K03754	163.379776114264	0.684786883879921	0.216330917457366	3.16546008276824	0.00154837905422986	0.0751317768663554
Xetro.K05203	456.843227573638	0.914469463939284	0.240048153576822	3.80952509033413	0.000139233977303329	0.0135116945049965
abhd6	54.1955558217998	-1.04036174229327	0.334147271457056	-3.11348268012708	0.00184893361619858	0.0857295811555748
aco2	370.637870923701	0.848353571741267	0.168390762514414	5.03800540524692	4.7040816215467e-07	0.000178513694819242
acpl2	564.932426313197	-1.02813666833425	0.245523090325967	-4.18753554693878	2.81999864045463e-05	0.00459362936431952
adh5	172.736269464348	1.23705185145288	0.352315431474519	3.51120541690592	0.000446079557067294	0.0319217625230815
afg3l1p	212.880263947967	-0.706680756931139	0.210622883931299	-3.35519457212276	0.000793091806650634	0.0474322539436466
agr2	2210.75009882132	-2.06801309884301	0.459543624477985	-4.50014533700072	6.79070171045892e-06	0.0013344267805632
ahsa1	738.975523550819	0.757045679502128	0.243069354425206	3.11452540486783	0.00184241089949091	0.0857295811555748
aldoa	2244.15235404981	0.76527235904788	0.172233301840466	4.44323107593169	8.86179012982449e-06	0.00163744719115265
alg5	410.368868276022	1.0619689713999	0.252229206550399	4.21033307729851	2.54994468851409e-05	0.00420910869917392
alpl	503.150350035165	2.99882853339672	0.321640445303308	9.3235430344241	1.12518806316062e-20	4.64327607397614e-17
ankrd39	147.838508939081	1.16715278109575	0.341732936800316	3.41539446570161	0.00063689704078873	0.0410665904425233
arhgap11a.2	235.393740108438	-2.08376490769321	0.251761681608548	-8.27673573825723	1.26597747212255e-16	3.91820027621929e-13
arhgef40	500.567689455405	-1.09791043348237	0.314415918355489	-3.49190473314725	0.000479589267294419	0.0333557029724995
arhgef5	326.448792994345	0.907419998687946	0.23996478764868	3.78147147162462	0.000155904090781056	0.0147335316325914
arl5c	2369.25129789654	-0.804365745004901	0.168766079544155	-4.76615767325716	1.87772335856531e-06	0.000553481313786631
arrdc2	121.883725219767	-0.992249152638236	0.252918650664349	-3.92319486930626	8.73824159079477e-05	0.0101102271863588
arv1	75.554154064533	1.43020187739173	0.241351898686007	5.9257950120889	3.10790083116089e-09	2.56505415265146e-06
aspg	1415.35862115292	0.543349981346595	0.154569287251491	3.51525190423205	0.000439337041855563	0.0316220498730922
atf6b	257.22588910514	-0.740954737793553	0.218811276598037	-3.38627309027911	0.000708488407397449	0.0440758114752785
atg4a	110.387779803794	-1.08087586960664	0.275160292226599	-3.92816805382851	8.55953918619889e-05	0.00999689576652286
atp10d	772.047257448855	0.983938215919507	0.314787498613118	3.12572201963075	0.00177369125919713	0.0838102969040476
atp11c	1103.56203626773	0.615853515784204	0.195610032621248	3.14837387188958	0.00164181558057664	0.0787816933625537
atpaf2	263.730781023413	0.980768509468141	0.241977338860215	4.05314197638445	5.05343125636668e-05	0.00710925897202494
baz1a	1232.46290756849	-0.677820697471336	0.199608726265455	-3.39574682005594	0.000684416352697216	0.0432299716652629
bcs1l	239.965472392024	1.49835253629303	0.442253342502179	3.38799595683247	0.000704053021669352	0.0440210929710433
birc5.1	370.840785374626	0.737554030895764	0.242866943995228	3.03686462539033	0.00239052789795364	0.0999822141103585
bloc1s1	124.576180630219	-1.1917754403242	0.347925865663402	-3.42537177582875	0.000613958660927685	0.039794807446517
brd2	3724.59245906151	-1.07195586262802	0.274668018779823	-3.90273271489723	9.51127170161768e-05	0.0105873187217857
btg4	169.920728910572	-1.80175817171869	0.48213384904798	-3.73704973271724	0.000186192107067957	0.0162821770915696
c14orf43	910.656288081939	-0.909783377095953	0.280024017381095	-3.2489476638634	0.00115832787623116	0.0610216983308157
c15orf39	1282.75260735849	0.644811417491672	0.171187821324897	3.76668978260952	0.000165426342918884	0.0151702083358206
c19orf53	328.560678072308	1.52487944337089	0.384241644014051	3.96854288733766	7.23134442387082e-05	0.009042832723992
c1orf93	1543.49817095567	-1.3748159803395	0.298084478600094	-4.61216896228917	3.98488863798729e-06	0.000899121912194741
c21orf2	47.5455652814698	1.53203350640938	0.423846393475246	3.61459606591853	0.000300816260934913	0.0232756581898389
c2orf44	522.238608038207	-1.44892211735527	0.256329542103077	-5.65257560820914	1.58061232545341e-08	1.08711003272851e-05
c5	1467.93376778662	2.03560837602226	0.547249717170746	3.71970658394536	0.000199454352373788	0.0170292750509483
c5orf24	67.5208646795311	-1.16431450702245	0.323740709828709	-3.5964414473499	0.000322600156312813	0.0245017787432676
calr	17759.6029164983	0.742270194222843	0.160341641615004	4.62930394591509	3.66896906372769e-06	0.000887273540433241
camk4	42.2335176010152	3.69329270281895	1.00084533877264	3.69017325628766	0.000224101368608179	0.0183733439958229
capza2	1843.88116054163	0.643590936998801	0.153805050918937	4.18445904834429	2.85845969160183e-05	0.00459580921844554
caskin2	571.363767867365	1.00660400623157	0.324533777353872	3.1016925709214	0.00192417674733136	0.0872575389449167
cct3	1174.72159038658	1.14057980553866	0.274883570357328	4.14931967034621	3.33464862324963e-05	0.00509159835383559
cd276	210.215621810015	1.18485799174477	0.356947073453984	3.31942206523657	0.000902039794642343	0.0514619938141576
cdc25b	3505.30703542641	0.55950897083805	0.178818460795107	3.12892174750986	0.00175449025924392	0.0835407284978451
cdc37	1050.75457971423	0.741471533314604	0.191447733015499	3.8729710800732	0.000107516589872194	0.0113765417317757
cdc6	8687.59763003747	-0.696418347602855	0.188283447568411	-3.69877626842274	0.000216641457942744	0.0181217651981836
cdh26	743.177122758366	0.913838445457402	0.296171140757204	3.08550807185684	0.00203204708438396	0.0898455103738335
cdk1	888.455961237497	-0.677940002716534	0.208519687724595	-3.25120380772837	0.00114917446234612	0.0610216983308157
cdk5	150.333150432815	1.17814129392146	0.289618494249684	4.06790766927256	4.74371693512793e-05	0.00675025467320503
cdk5r1	308.756132814591	1.89432307560314	0.531049110849181	3.56713350404447	0.000360907631732014	0.027079008974802
cenpl	716.584146676124	-0.611212933222771	0.151675212722862	-4.02974831714638	5.58366041768992e-05	0.00756470127169452
cep57	444.200539332408	-0.633419857415941	0.200165662468463	-3.16447811080353	0.00155361347962738	0.0751317768663554
cep85	704.946459684448	0.860764816097848	0.152895874722984	5.6297451952669	1.8047604031836e-08	1.11714668957065e-05
chad	120.515523844751	-2.98195200574225	0.80576335266921	-3.70077888981187	0.000214938705550526	0.0181016406443232
chd8	2609.97144520043	0.696923687636245	0.191224695108406	3.64452764451347	0.000267883342057985	0.021258947273576
cir1	505.03402743821	0.707584337658297	0.200901172982347	3.52205179867453	0.000428220463765434	0.0311845255377416
cpne3	1044.54240387498	1.4676697700079	0.383828033881132	3.82376908525244	0.000131427010414953	0.0131215031365897
cpsf7	2735.61449383707	-0.483594475059321	0.128847233496513	-3.75323910289784	0.000174564203564495	0.0157744878841493
creb1	1485.88031351608	0.817762014679048	0.171927809001539	4.75642666202842	1.9704977798875e-06	0.00056732005848854
cse1l	790.6753325054	0.567203507089587	0.170770992273642	3.32142771754061	0.000895581765250822	0.0513301030268758
