baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
42Sp43	680.824175598669	0.860597668014889	0.287625047610169	2.9920817924776	0.00277082015180764	0.0173478305173502
Xetro.A00034	82.2118861145194	-1.01500092402832	0.383155185004721	-2.64905960757341	0.0080716093890458	0.0401176698631101
Xetro.A00084	93.6768241037846	0.852802149079895	0.254362916191058	3.35269842731058	0.000800278531060829	0.00662234661271892
Xetro.A00126	19.6268085628566	-2.5700933976682	0.916976679091858	-2.80279036127018	0.00506625889598382	0.027900498366038
Xetro.A00137	57.0243155198151	7.30383914058555	0.850184188875794	8.59089034605958	8.62979632707801e-18	2.2430396846856e-15
Xetro.A00203	513.222776222463	-2.04720915169824	0.25639358003222	-7.98463499531063	1.40938709561445e-15	2.40277767752335e-13
Xetro.A00266	12.2583905032834	-1.88195391889455	0.843680428649121	-2.23064783179561	0.0257044657770225	0.0955107346835461
Xetro.A00297	347.582173260956	-1.05106334365816	0.194196105706095	-5.41238115891408	6.21921295552009e-08	2.00011402453897e-06
Xetro.A00451	36.4525028421992	2.7977380838478	0.889254489937385	3.14616132446494	0.00165428729966412	0.0116988069296051
Xetro.A00460	49.4501994418166	-1.33741284398261	0.364167033637013	-3.67252584789345	0.000240164850307101	0.00248876712524124
Xetro.A00499	9.35027260668595	1.47583586038306	0.664454081300712	2.22112543502481	0.0263424667405725	0.0970850325829327
Xetro.A00700	11.1223490731977	1.26539799252304	0.532206176352634	2.37764619943945	0.0174235344711487	0.0715118144033299
Xetro.A00726	70.6817362177308	-1.12418941683084	0.340219063326426	-3.30431048113324	0.000952103248421014	0.00755913720766909
Xetro.A00768	14.4345968323956	-1.93487020071976	0.867314482617287	-2.23087500497043	0.0256894098307499	0.0954995528409239
Xetro.A00781	101.699314046262	1.21955565292914	0.399980106397335	3.04904077333699	0.00229573321366288	0.0150222245574185
Xetro.A00842	65.8059465443111	-1.20968013647191	0.436321200824374	-2.77245326192348	0.00556355082038779	0.0298612384080056
Xetro.A00945	663.516385648456	-1.3665054026568	0.338260212613962	-4.03980530875004	5.34955895734666e-05	0.000716361970175095
Xetro.A00946	53.8618204690302	-1.46859060164806	0.328286137657486	-4.47350781281023	7.69467453082854e-06	0.000138007991726569
Xetro.A00972	1852.92532369698	0.588035960105162	0.206040426396114	2.85398341670416	0.00431747849825222	0.0247124987688769
Xetro.A00995	58.2186123818562	1.6469693982887	0.456417437403181	3.60847168254404	0.000308006125702799	0.0030483377796616
Xetro.A01011	4405.73382555412	-0.654572586816033	0.142791718788923	-4.58410748443774	4.55929676412476e-06	8.95957009077479e-05
Xetro.A01039	6.92377020053056	2.70169045555995	0.765905612511944	3.52744569490645	0.000419589821732969	0.00392483576612167
Xetro.A01130	190.694185158062	-0.933998423382402	0.226226472131638	-4.12859916251941	3.64980030725893e-05	0.000520266937956966
Xetro.A01186	157.009045121212	-0.848931342210821	0.278235774107316	-3.05112218202174	0.00227987778678262	0.0149491469343645
Xetro.A01198	2327.81405319116	-0.722009500374217	0.140866575900459	-5.12548484804809	2.96773033804373e-07	8.15482920445118e-06
Xetro.A01262	15.3054616802569	2.54585342229823	0.671451350313762	3.79156795367017	0.000149699174908574	0.00167737132026533
Xetro.A01271	10.8743224371846	-2.07550903812209	0.847846372108962	-2.4479777308705	0.014366053442539	0.0617677380937592
Xetro.A01274	210.361664479527	1.00689848197286	0.420333140570098	2.3954772650265	0.0165987435917189	0.0688574253392736
Xetro.A01311	4.30189615058908	3.04223522340057	1.10061103544616	2.76413294562991	0.00570742800668936	0.0304568431883704
Xetro.A01315	14093.0762806234	-0.443815057237805	0.161382429973416	-2.75008287649971	0.00595801935660062	0.0315281409849394
Xetro.A01325	45.7386556602737	2.12322577440679	0.413713754515905	5.13211308841115	2.86507259676676e-07	7.88641076766266e-06
Xetro.A01364	143.824174078067	-1.30600442161991	0.317986163451225	-4.10711084861476	4.00638986067528e-05	0.000562633403374726
Xetro.A01430	250.931102867773	0.812996388942985	0.290982326384145	2.79397171314692	0.00520650327010442	0.0285439520565372
Xetro.A01592	6.32530582037975	3.02133652944073	0.985758875141266	3.06498536876754	0.0021768064593016	0.0143903122509486
Xetro.A01736	58.709204561479	-1.00744576632925	0.348750006314017	-2.88873332785589	0.00386796946211416	0.0225631551956659
Xetro.A01754	40.7380348422101	1.59606774312116	0.414805316858752	3.84775141072901	0.000119206920591094	0.0013907474068961
Xetro.A01755	75.3717344637969	1.50681850036404	0.464835647445541	3.24161563048061	0.00118854206604102	0.00899547113576196
Xetro.A01761	8.678204681767	2.4348320658044	0.671156742426207	3.62781435675155	0.000285830656177477	0.00287371277976785
Xetro.A01984	68.0936723355556	1.25559777013104	0.317957226100067	3.94895183082231	7.84941432670492e-05	0.000985371846000843
Xetro.A02009	6.06434407881855	-2.32834205430146	0.838758786550719	-2.77593760165118	0.00550427711850333	0.0296233244106824
Xetro.A02020	35.7092380064008	1.38584288346882	0.474271250209113	2.92204699917565	0.00347739062286039	0.0207037282483858
Xetro.A02069	320.679742551585	-0.777814339559738	0.328862645428462	-2.36516475912415	0.0180220513523696	0.0733687455295389
Xetro.A02146	10.1228969955122	-1.83192046275543	0.678230874913536	-2.70102782181507	0.0069125555780187	0.0355147662636055
Xetro.A02194	9.93239636785875	-1.98748491507177	0.640682258436636	-3.10213821110255	0.00192128233808598	0.0130931664441273
Xetro.A02207	3.09838927061373	2.40907674532472	1.08117316191915	2.22820620246293	0.0258667676599465	0.0958442629699582
Xetro.A02295	43.9538035610619	-0.790014248226828	0.291274605731583	-2.71226613196362	0.00668249175132456	0.0345792776492333
Xetro.A02364	104.047364123751	-1.18416851210553	0.371646348724866	-3.18627780460769	0.00144116140740071	0.0104479259782068
Xetro.A02417	157.518078119628	-0.497915457585794	0.207600727984384	-2.39842828308024	0.016465600482157	0.0684842853212484
Xetro.A02427	19.2182465588537	3.21487273157329	0.644259168719008	4.99003023575974	6.03698423222118e-07	1.52657711326741e-05
Xetro.A02433	84.3028495414302	1.38299727401863	0.362314612358305	3.8171170216313	0.000135020139939279	0.00153899663460623
Xetro.A02620	12.0662189997607	2.80083265807076	0.85848173141573	3.26254194536194	0.00110417831041533	0.00845736575441308
Xetro.A02645	12.1119193048231	-2.11759007100552	0.699133997324587	-3.02887583654781	0.00245465544176319	0.0158006319514
